iso3c,year,ChildMortality,GDPpc
BHS,2005,16.9,29274.6456939742
BHS,2010,15.4,29629.2525061559
BHS,2018,13.5,35647.1369697242
BHS,2014,14.1,31255.387707412
BHS,2015,13.9,31746.8033825774
BHS,2017,13.6,34067.8461834433
BHS,2016,13.8,32112.2038931048
BHR,2006,10.2,45651.591942431
BHR,2008,9.3,48078.8438742404
BHR,2020,7,50682.7595647482
BHR,2018,7.2,50114.1503913545
BHR,2005,10.6,44780.1156664312
BHR,2007,9.8,47380.1664464359
BHR,2016,7.3,45281.3019203255
BHR,2017,7.3,48929.4470119951
BHR,2014,7.5,52073.9846164495
BHR,2015,7.4,45900.7030253586
BHR,2019,7.1,51879.7363438765
BHR,2010,8.5,47929.443463014
BHR,2001,12,40186.9453085917
BHR,2003,11.3,42900.8133510832
BHR,2013,7.7,53672.1042194471
BHR,2002,11.6,41161.5625780613
BHR,2011,8.1,49960.2678680839
BHR,2012,7.9,53778.4886740831
BHR,2021,6.9,54901.512628498
BHR,2004,11,44006.7127561133
BHR,2000,12.5,39360.4320898099
BHR,2009,8.9,46708.7358567087
BGD,2005,64.5,2074.01158534209
BGD,2009,51.8,2751.21787760065
BGD,2021,27.3,6522.55582642865
BGD,2007,57.7,2451.5422131243
BGD,2006,61,2253.20981719788
BGD,2000,86.1,1574.3315699744
BGD,2016,36,4558.56389477538
BGD,2002,76.6,1717.97006163024
BGD,2003,72.3,1803.13815309616
BGD,2004,68.3,1916.45203801677
BGD,2020,28.8,5904.56736266229
BGD,2017,34.1,4830.77629051855
BGD,2018,32.2,5247.69469583125
BGD,2019,30.4,5699.07813423519
BGD,2011,46.7,3119.92997299708
BGD,2001,81.1,1659.71135589897
BGD,2013,42.1,3734.72565106496
BGD,2010,49.2,2906.05192045574
BGD,2015,38,4216.71973918632
BGD,2008,54.7,2625.40635930662
BGD,2012,44.4,3493.9228210851
BGD,2014,40,3997.28670060872
BRB,2005,15.7,15203.7568396327
BRB,2002,15.6,13217.9874764964
BRB,2003,15.7,13718.3375860786
BRB,2015,14.1,15978.8418524532
BRB,2016,13.8,16406.2736925225
BRB,2013,14.6,15775.0868595081
BRB,2014,14.4,15613.2813500083
BRB,2018,13,16449.6285678118
BRB,2004,15.8,14231.9170595508
BRB,2001,15.4,12965.9179575109
BRB,2017,13.4,16233.7921528506
BRB,2009,15.1,16814.0829325202
BRB,2010,15,16573.8223594241
BRB,2011,14.9,16744.3665372665
BRB,2012,14.7,15739.0416727482
BRB,2000,15.2,13022.7841493541
BRB,2007,15.5,17298.199568594
BRB,2008,15.3,17667.4813668559
BRB,2006,15.6,16562.125091808
BRB,2020,12.3,14788.3336757337
BRB,2021,11.9,15304.129280943
BRB,2019,12.7,16759.3808435159
BLR,2004,9.4,8491.89483353234
BLR,2007,7.3,12332.5029152685
BLR,2021,2.7,21928.6857574651
BLR,2006,8,11006.4559016421
BLR,2001,11.8,6244.74774348393
BLR,2003,10.1,7369.84590437492
BLR,2016,3.9,17785.9431970966
BLR,2009,6.1,14050.5715546692
BLR,2018,3.4,19430.9092097721
BLR,2002,10.9,6704.59228079556
BLR,2008,6.6,13898.9996761756
BLR,2017,3.6,18356.0660575514
BLR,2000,12.8,5801.75812617707
BLR,2005,8.7,9647.12117983096
BLR,2011,5.2,16563.2014078209
BLR,2020,2.9,20317.231920485
BLR,2012,4.9,18105.2867180444
BLR,2014,4.3,19007.9973242876
BLR,2015,4.1,18095.7034185545
BLR,2010,5.6,15361.8316988786
BLR,2013,4.6,18994.1901887616
BLR,2019,3.1,20106.0689126376
BEL,2002,5.5,30282.2886450283
BEL,2001,5.7,28796.5795804462
BEL,2011,4.4,40942.372710454
BEL,2012,4.3,42290.7620520019
BEL,2003,5.3,30934.5826454577
BEL,2010,4.5,39833.1840540415
BEL,2000,5.9,27788.0908832256
BEL,2014,4.1,44929.685593416
BEL,2007,4.8,36799.5318686343
BEL,2008,4.7,37883.3319417819
BEL,2009,4.6,37748.3994331926
BEL,2020,4.1,55756.6682522937
BEL,2021,4.1,62107.0699329664
BEL,2013,4.2,43671.11959259
BEL,2004,5.2,32063.9826949865
BEL,2015,4.1,46200.904454307
BEL,2005,5,33177.8909458158
BEL,2006,4.9,35258.985063203
BEL,2018,4.1,52530.5620821347
BEL,2019,4.1,56621.5417607532
BEL,2016,4.1,48597.3999826201
BEL,2017,4.1,50442.2705419624
BLZ,2016,14.5,9088.98734726424
BLZ,2002,22.2,8121.27715688497
BLZ,2008,19.9,9895.0895036482
BLZ,2017,13.7,8798.69905704344
BLZ,2001,22.9,7828.20660010823
BLZ,2000,23.6,7524.97756121552
BLZ,2012,17.7,9096.72890258378
BLZ,2009,19.5,9645.41376668047
BLZ,2010,18.9,9638.91782892844
BLZ,2018,13,8929.62453849722
BLZ,2019,12.3,9303.71800317986
BLZ,2015,15.3,9250.63950773823
BLZ,2003,21.7,8806.39760894338
